"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","24546","testCalculatorOperations","Suite","Sat Apr 26 23:23:00 GMT 2025","passed","Sat Apr 26 23:23:25 GMT 2025","com.clarkewerton.android.CalculatorTest","GooglePixel8","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","16813","testCalculatorOperations","Suite","Sat Apr 26 23:20:39 GMT 2025","passed","Sat Apr 26 23:20:56 GMT 2025","com.clarkewerton.android.CalculatorTest","GooglePixel8","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","3933","testCalculatorOperations","Suite","Sat Apr 26 23:20:14 GMT 2025","passed","Sat Apr 26 23:20:18 GMT 2025","com.clarkewerton.android.CalculatorTest","Android emulator 2","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","7068","testCalculatorOperations","Suite","Sat Apr 26 23:20:03 GMT 2025","passed","Sat Apr 26 23:20:10 GMT 2025","com.clarkewerton.android.CalculatorTest","Android emulator 2","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","1","testCalculatorOperations","Suite","Sat Apr 26 23:18:30 GMT 2025","passed","Sat Apr 26 23:18:30 GMT 2025","com.clarkewerton.android.CalculatorTest","GooglePixel7","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","7114","testCalculatorOperations","Suite","Sat Apr 26 23:18:59 GMT 2025","passed","Sat Apr 26 23:19:06 GMT 2025","com.clarkewerton.android.CalculatorTest","Android emulator 1","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","1","testCalculatorOperations","Suite","Sat Apr 26 23:20:25 GMT 2025","passed","Sat Apr 26 23:20:25 GMT 2025","com.clarkewerton.android.CalculatorTest","Android emulator 1","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","6615","testCalculatorOperations","Suite","Sat Apr 26 23:19:28 GMT 2025","passed","Sat Apr 26 23:19:35 GMT 2025","com.clarkewerton.android.CalculatorTest","Android emulator 1","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","2","testCalculatorOperations","Suite","Sat Apr 26 23:18:30 GMT 2025","passed","Sat Apr 26 23:18:30 GMT 2025","com.clarkewerton.android.CalculatorTest","GooglePixel7","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","13129","testCalculatorOperations","Suite","Sat Apr 26 23:15:04 GMT 2025","passed","Sat Apr 26 23:15:17 GMT 2025","com.clarkewerton.android.CalculatorTest","GooglePixel7","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
